gap_hours_requested,time_since_last_login_s,geo_anomaly_flag,is_new_device,attack_type,p_account_takeover,is_anomaly,anomaly_score
1,3600.0,1,1,account_takeover,0.53,True,0.6098911012723455
6,21600.0,1,0,normal,0.3614035087719298,False,0.5405414206432879
12,43200.0,1,0,account_takeover,0.58,False,0.5247357263094428
18,64800.0,1,0,normal,0.49,False,0.5276660652341305
22,79200.0,1,0,normal,0.32,False,0.5258543061103211
24,86400.0,1,0,normal,0.32,False,0.5258543061103211
26,93600.0,1,0,normal,0.49,False,0.5212603587960214
30,108000.0,0,0,normal,0.36646938714512467,False,0.5137986829768687
48,172800.0,0,0,normal,0.3664693871451247,False,0.513458177108481
120,432000.0,0,0,normal,0.36646938714512456,False,0.491014846936999
