index,login_timestamp,user_id,round-trip_time_[ms],ip_address,country,region,city,asn,user_agent_string,browser_name_and_version,os_name_and_version,device_type,login_successful,is_attack_ip,is_account_takeover,time_of_day,ip_reputation_score,geo_anomaly_flag,fail_count_1min,fail_count_5min,unique_usernames_5min,time_since_last_login,is_new_device,rolling_fail_velocity,login_success_rate_1min,fail_to_success_ratio_5min,attack_type,is_anomaly
3586839,2020-03-23 13:05:11.883,-4324475583306591935,0.0,87.248.28.80,NO,Innlandet,Gjøvik,29492,Mozilla/5.0  (Android 6.0.99; Tablet; https://github.com/das-group/rba-dataset) Gecko/20150101 Firefox/20.0.0.1610 (Chrome,Firefox 20.0.0.1610,Android 6.0.99,mobile,False,True,False,13,1.0,1,7,7,1,0,0,0.7,0.0,7.0,brute_force,1
4150169,2020-03-31 07:35:54.898,3260607624536497073,0.0,38.135.39.220,US,-,-,393398,"Mozilla/5.0  (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) plus AppleWebKit/537.36 (KHTML, like Gecko Chrome/78.0.3904.108 Mobile Safari/537.36 OPR/56.1.2780.51589 variation/199545",Opera Mobile 56.1.2780,iOS 11.2.6,mobile,True,True,False,7,1.0,0,3,4,5,999999,1,0.4,0.25,4.0,brute_force,1
26083560,2021-01-02 02:11:06.867,-4324475583306591935,0.0,10.3.205.193,RU,Moscow Oblast,Babayevo,15599,ZipppBot/0.11 (ZipppBot; https://github.com/das-group/rba-dataset; webmaster@zippp.net),ZipppBot 0.11,Other ,bot,False,False,False,2,0.0,1,2,3,1,5,0,0.7,0.0,3.0,dictionary_attack,1
2999594,2020-03-15 08:58:12.372,-4324475583306591935,0.0,31.42.11.131,PL,Silesia,Częstochowa,49528,"Mozilla/5.0  (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) plus Build/PTBS29.401-25-5; wv AppleWebKit/537.36 (KHTML, like Gecko Version/4.0 Chrome/88.0.4324.181 Mobile Safari/537.36 variation/189826",Chrome Mobile WebView 88.0.4324,iOS 11.2.6,mobile,False,True,False,8,1.0,1,0,2,3,1,0,0.2,1.0,1.0,normal,0
31099113,2021-02-26 17:23:47.050,-4324475583306591935,0.0,179.43.88.52,PE,-,-,263185,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.37.80 Safari/537.36",Chrome 71.0.3578.37,Mac OS X 10.14.6,desktop,False,False,False,17,0.0,1,0,0,1,2,0,0.0,1.0,0.0,normal,0
24224813,2020-12-15 16:25:09.775,-4324475583306591935,0.0,10.0.181.203,AT,Carinthia,Berg im Drautal,262582,"Mozilla/5.0  (Macintosh; Intel Mac OS X 11_6_3) AppleWebKit/537.36 (KHTML, like Gecko Chrome/72.0.3626.82.96 Safari/537.36",Chrome 72.0.3626.82,Mac OS X 11.6.3,desktop,False,False,False,16,0.0,1,0,0,1,2,0,0.0,1.0,0.0,normal,0
2517338,2020-03-08 04:15:08.594,-4324475583306591935,0.0,38.135.39.127,US,-,-,393398,"Mozilla/5.0  (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.41 Mobile Safari/537.36 variation/151827",Chrome Mobile 81.0.4044,iOS 11.2.6,mobile,False,True,False,4,1.0,0,0,3,4,4,0,0.3,1.0,0.75,dictionary_attack,1
9089198,2020-06-08 17:51:15.331,-4324475583306591935,0.0,139.164.11.199,NO,-,-,29695,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.79 Safari/537.36",Chrome 67.0.3396,Mac OS X 10.14.6,desktop,False,False,False,17,0.0,1,0,0,1,2,0,0.0,1.0,0.0,normal,0
29653680,2021-02-08 09:17:40.050,1929998605121057894,953.0,84.209.182.255,NO,Oslo County,Oslo,41164,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_5_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2.3433 Mobile/15E148 Safari/604.1",Mobile Safari 12.1.2.3433,iOS 12.5.4,mobile,True,False,False,9,0.0,0,0,0,1,999999,1,0.0,1.0,0.0,normal,0
3131990,2020-03-17 05:56:24.976,2711549574568612325,0.0,185.161.201.241,DE,-,-,9063,"Mozilla/5.0  (X11; CrOS armv7l 5978.98.0) AppleWebKit/537.36 (KHTML, like Gecko Chrome/73.0.3654.0 Safari/537.36 variation/958",Chrome 73.0.3654,Chrome OS 5978.98.0,desktop,True,True,False,5,1.0,0,4,4,3,0,0,0.4,0.0,4.0,brute_force,1
12998550,2020-08-01 17:19:16.417,-4324475583306591935,0.0,10.0.110.208,IN,-,-,45775,"Mozilla/5.0  (Android 6.0.99; Tablet; https://github.com/das-group/rba-dataset) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1929.138 Mobile Safari/537.36 YaApp_Android/9.20 YaSearchBrowser/9.20 variation/106244",Chrome Mobile 81.0.4044.1929,Android 6.0.99,mobile,False,False,False,17,0.0,1,0,0,1,6,0,0.0,1.0,0.0,normal,0
11746482,2020-07-14 18:30:52.532,-2221252000253961302,0.0,92.221.105.188,NO,Rogaland,Sandnes,29695,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.81.109 Safari/537.36 variation/8148",Chrome 72.0.3626.81,Mac OS X 10.14.6,desktop,True,False,False,18,0.0,0,0,0,1,999999,1,0.0,1.0,0.0,normal,0
5512397,2020-04-18 15:48:31.234,-4324475583306591935,0.0,10.0.3.253,ID,East Java,Bandung Barat,500039,"Mozilla/5.0  (Macintosh; Intel Mac OS X 11_6_3) AppleWebKit/537.36 (KHTML, like Gecko Chrome/64.0.3282.137 Safari/537.36",Chrome 64.0.3282,Mac OS X 11.6.3,desktop,False,True,False,15,1.0,1,2,9,1,1,0,1.4,0.0,9.0,dictionary_attack,1
1212903,2020-02-19 11:00:25.446,-8465181379112012838,0.0,38.135.39.117,US,-,-,393398,"Mozilla/5.0  (Linux; Android 4.1; Galaxy Nexus Build/JRN84D) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.117 Mobile Safari/537.36 PHX/6.6",Chrome Mobile 81.0.4044,Android 4.1,mobile,True,True,False,11,1.0,0,0,4,6,999999,1,0.4,1.0,2.0,credential_stuffing,1
21287585,2020-11-20 02:12:32.939,-4324475583306591935,0.0,10.3.205.196,RU,Ivanovo Oblast,Privolzhsk,15599,ZipppBot/0.11 (ZipppBot; https://github.com/das-group/rba-dataset; webmaster@zippp.net) variation/40,ZipppBot 0.11,Other ,bot,False,False,False,2,0.0,1,3,7,1,2,0,0.7,0.0,7.0,brute_force,1
2636513,2020-03-09 19:27:58.785,-4324475583306591935,0.0,209.236.117.223,US,-,-,393398,"Mozilla/5.0  (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) supra AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1934.117 Mobile Safari/537.36 variation/173098",Chrome Mobile 81.0.4044.1934,iOS 11.2.6,mobile,False,True,False,19,1.0,0,4,8,10,2,0,0.8,0.0,1.6,credential_stuffing,1
3131535,2020-03-17 05:44:43.288,-4324475583306591935,0.0,209.236.125.35,US,-,-,393398,"Mozilla/5.0  (Android 6.0.99; Tablet; https://github.com/das-group/rba-dataset) AppleWebKit/537.36 (KHTML, like Gecko Chrome/37.0.2062.690.102 Safari/537.36",Chrome 37.0.2062.690,Android 6.0.99,mobile,False,True,False,5,1.0,0,0,0,1,1,0,0.0,1.0,0.0,normal,0
3926361,2020-03-28 03:01:17.719,-6462847838792724525,0.0,209.236.123.155,US,-,-,393398,"Mozilla/5.0  (Linux; Android 4.1; Galaxy Nexus Build/JRN84D) Plus Build/NMA26.42-113 AppleWebKit/537.36 (KHTML, like Gecko Chrome/63.0.3239.111 Mobile Safari/537.36",Chrome Mobile 63.0.3239,Android 4.1,mobile,False,True,False,3,1.0,0,4,5,3,999999,1,0.5,0.0,5.0,brute_force,1
11867973,2020-07-16 14:16:30.148,-3187861904355796058,0.0,79.161.23.155,NO,Viken,Saetre,29695,"Mozilla/5.0  (compatible; MSIE 9.0; Windows Phone OS 7.5; Trident/5.0; IEMobile/9.0; ZTE; Tania) power AppleWebKit/537.36 (KHTML, like Gecko Chrome/78.0.3904.96 Mobile Safari/537.36",Chrome Mobile 78.0.3904,Windows Phone 7.5,mobile,True,False,False,14,0.0,0,0,0,1,999999,1,0.0,1.0,0.0,normal,0
2544480,2020-03-08 13:54:34.556,-6583057216586201236,0.0,209.236.123.142,US,-,-,393398,"Mozilla/5.0  (Linux; U; Android 2.2) AppleWebKit/537.36 (KHTML, like Gecko Version/4.0 Chrome/85.0.4183.127 Mobile Safari/537.36Snapchat11.2.0.68 (SM-A505FN; Android 10#A505FNXXS5BTI9#29; gzip",Chrome Mobile WebView 85.0.4183,Android 2.2,mobile,True,True,False,13,1.0,0,1,1,2,0,0,0.1,0.0,1.0,normal,0
235857,2020-02-06 13:58:49.828,-1392752050808109843,0.0,38.135.39.156,US,-,-,393398,Mozilla/5.0  (Linux; Android 4.1; Galaxy Nexus Build/JRN84D) Gecko/20081407 Firefox/20.0.0.1670,Firefox 20.0.0.1670,Android 4.1,mobile,True,True,False,13,1.0,0,0,0,1,999999,1,0.0,1.0,0.0,normal,0
5160692,2020-04-14 07:27:39.665,-4324475583306591935,0.0,38.135.39.178,US,-,-,393398,"Mozilla/5.0  (Android 6.0.99; Tablet; https://github.com/das-group/rba-dataset) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.138 Mobile Safari/537.36 PHX/5.7 variation/97292",Chrome Mobile 81.0.4044,Android 6.0.99,mobile,False,True,False,7,1.0,0,1,8,2,3,0,0.8,0.0,8.0,dictionary_attack,1
999890,2020-02-16 16:48:26.897,-4324475583306591935,0.0,66.248.237.235,US,-,-,393398,"Mozilla/5.0  (Mobile; Windows Phone 8.1; Android 4.0; ARM; Trident/7.0; Touch; https://github.com/das-group/rba-dataset; IEMobile/11.0; Microsoft; Lumia 430 Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko Chrome/66.0.3450.1085.0 Iron Safari/537.36 variation/143714",Iron 66.0.3450.1085,Windows Phone 8.1,mobile,False,True,False,16,1.0,0,0,0,1,0,0,0.0,1.0,0.0,normal,0
20855022,2020-11-16 06:40:44.026,-4324475583306591935,0.0,10.2.64.64,RO,Bucuresti,Bucharest,500061,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/66.0.3359.3443.181 Mobile/15E148 Safari/604.1 variation/208364",Chrome Mobile iOS 66.0.3359.3443,iOS 13.2.1,mobile,False,False,False,6,0.0,1,0,0,1,4,0,0.0,1.0,0.0,normal,0
1102896,2020-02-17 22:45:52.603,586196703547065115,0.0,158.248.244.211,NO,-,-,29695,Mozilla/5.0  (Android 6.0.99; Tablet; https://github.com/das-group/rba-dataset) Gecko/20081407 Firefox/20.0.0.1618 variation/120027,Firefox 20.0.0.1618,Android 6.0.99,mobile,True,False,False,22,0.0,0,0,0,1,999999,1,0.0,1.0,0.0,normal,0
4077029,2020-03-30 09:05:10.546,2658435044185784995,0.0,43.241.146.65,IN,Gujarat,Rajkot,45916,"Mozilla/5.0  (iPhone; CPU iPhone OS 13_4 like Mac OS X) optimo (XT1952DL AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.117 Mobile Safari/537.36",Chrome Mobile 81.0.4044,iOS 13.4,mobile,True,True,False,9,1.0,0,0,0,1,0,0,0.0,1.0,0.0,normal,0
23070500,2020-12-03 14:02:57.615,-4652302824165996131,0.0,91.236.245.72,BE,-,-,57948,"Mozilla/5.0  (iPhone; CPU iPhone OS 13_4 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1927.138 Mobile Safari/537.36 PHX/6.2 variation/219279",Chrome Mobile 81.0.4044.1927,iOS 13.4,mobile,True,False,False,14,0.0,0,0,0,1,999999,1,0.0,1.0,0.0,normal,0
29712964,2021-02-08 22:25:08.173,-4324475583306591935,0.0,10.4.56.140,LK,-,-,206089,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.37.80 Safari/537.36",Chrome 71.0.3578.37,Mac OS X 10.14.6,desktop,False,False,False,22,0.0,1,0,0,1,22,0,0.0,1.0,0.0,normal,0
4939670,2020-04-10 17:26:21.551,-4324475583306591935,0.0,209.236.117.145,US,-,-,393398,"Mozilla/5.0  (Linux; U; Android 2.2) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.138 Mobile Safari/537.36 PHX/5.7",Chrome Mobile 81.0.4044,Android 2.2,mobile,False,True,False,17,1.0,0,1,1,4,3,0,0.1,0.6666666666666666,0.5,normal,0
3640776,2020-03-24 08:02:01.961,-4324475583306591935,0.0,94.142.130.23,US,-,-,54903,"Mozilla/5.0  (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) optimo (XT1952DL AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1946.111 Mobile Safari/537.36",Chrome Mobile 81.0.4044.1946,iOS 11.2.6,mobile,False,True,False,8,1.0,0,0,0,1,12,0,0.0,1.0,0.0,normal,0
154486,2020-02-05 12:24:30.677,2454862263107467129,0.0,209.236.117.55,US,-,-,393398,"Mozilla/5.0  (iPhone; CPU iPhone OS 14_2_1 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/80.0.3987.40 Mobile Safari/537.36",Chrome Mobile 80.0.3987,iOS 14.2.1,mobile,False,True,False,12,1.0,0,4,8,5,999999,1,0.8,0.0,4.0,brute_force,1
550829,2020-02-10 19:47:56.463,-4324475583306591935,0.0,31.42.11.23,PL,Silesia,Częstochowa,49528,"Mozilla/5.0  (Mobile; Windows Phone 8.1; Android 4.0; ARM; Trident/7.0; Touch; https://github.com/das-group/rba-dataset; IEMobile/11.0; Microsoft; Lumia 430 Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko Chrome/71.0.3578.2896.2901.83 Mobile Safari/537.36",Chrome Mobile 71.0.3578.2896.2901,Windows Phone 8.1,mobile,False,True,False,19,1.0,1,3,8,6,3,0,0.8,0.25,8.0,credential_stuffing,1
29490990,2021-02-06 02:34:40.282,-4324475583306591935,0.0,173.205.2.216,US,-,-,393544,"Mozilla/5.0  (iPhone; CPU iPhone OS 13_4 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1933.66 Mobile Safari/537.36 variation/230220",Chrome Mobile 81.0.4044.1933,iOS 13.4,mobile,False,True,False,2,1.0,0,0,0,1,15,0,0.0,1.0,0.0,normal,0
5214374,2020-04-14 16:44:26.090,-7116161186799449147,0.0,77.106.191.250,NO,Oslo County,Oslo,29492,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.192.200.117 Safari/537.36",Chrome 79.0.3945.192.200,Mac OS X 10.14.6,desktop,True,False,False,16,0.0,0,0,0,1,999999,1,0.0,1.0,0.0,normal,0
1945062,2020-02-29 06:38:02.200,-2259298405917091558,0.0,209.236.125.231,US,-,-,393398,"Mozilla/5.0  (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1943.138 Mobile Safari/537.36 PHX/5.6",Chrome Mobile 81.0.4044.1943,iOS 11.2.6,mobile,True,True,False,6,1.0,0,1,1,2,0,0,0.1,0.6666666666666666,0.5,normal,0
20879805,2020-11-16 11:45:50.779,-4324475583306591935,0.0,66.68.129.99,US,Texas,El Paso,11427,"Mozilla/5.0  (Mobile; Windows Phone 8.1; Android 4.0; ARM; Trident/7.0; Touch; https://github.com/das-group/rba-dataset; IEMobile/11.0; Microsoft; Lumia 430 Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1935.117 Mobile Safari/537.36,gzip(gfe,gzip(gfe",Chrome Mobile 81.0.4044.1935,Windows Phone 8.1,mobile,False,False,False,11,0.0,0,0,0,1,2,0,0.0,1.0,0.0,normal,0
4695813,2020-04-07 09:37:02.856,-2471877268568852785,0.0,209.236.125.240,US,-,-,393398,Mozilla/5.0  (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) Gecko/20081407 Firefox/20.0.0.1727,Firefox 20.0.0.1727,iOS 11.2.6,mobile,True,True,False,9,1.0,0,0,0,1,999999,1,0.0,1.0,0.0,normal,0
3017521,2020-03-15 13:40:53.589,-4459277712840760723,0.0,209.236.125.20,US,-,-,393398,Mozilla/5.0  (Linux; U; Android 2.2) Gecko/20100101 Firefox/20.0.0.1618 variation/37420,Firefox 20.0.0.1618,Android 2.2,mobile,True,True,False,13,1.0,0,0,0,1,0,0,0.0,1.0,0.0,normal,0
16631780,2020-09-21 17:34:17.799,4571861885458793190,0.0,80.239.36.136,NO,Rogaland,Bryne,25400,"Mozilla/5.0  (Linux; Android 5.0; SAMSUNG SM-G900F) AppleWebKit/533.1 (KHTML, like Gecko Version/4.0 Mobile Safari/533.1 variation/69199",Android 2.3.3.2660,Android 5.0,mobile,True,False,False,17,0.0,0,0,0,1,999999,1,0.0,1.0,0.0,normal,0
4164857,2020-03-31 10:24:06.945,-5288485976636659515,0.0,209.236.117.56,US,-,-,393398,"Mozilla/5.0  (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.138 Mobile Safari/537.36 YaApp_Android/9.20 YaSearchBrowser/9.20",Chrome Mobile 81.0.4044,iOS 11.2.6,mobile,True,True,False,10,1.0,0,1,1,2,999999,1,0.1,0.0,1.0,normal,0
3382721,2020-03-20 13:29:55.923,-4324475583306591935,0.0,209.236.117.1,US,-,-,393398,"Mozilla/5.0  (Android 6.0.99; Tablet; https://github.com/das-group/rba-dataset) AppleWebKit/537.36 (KHTML, like Gecko Chrome/80.0.3987.99 Mobile Safari/537.36 OPT/2.4",Chrome Mobile 80.0.3987,Android 6.0.99,mobile,False,True,False,13,1.0,0,3,4,3,0,0,0.4,0.0,4.0,brute_force,1
2312739,2020-03-05 03:43:43.786,2769957806783670998,0.0,38.135.39.159,US,-,-,393398,Mozilla/5.0  (Linux; Android 4.1; Galaxy Nexus Build/JRN84D) Gecko/20081407 Firefox/20.0.0.1722 variation/65438,Firefox 20.0.0.1722,Android 4.1,mobile,False,True,False,3,1.0,0,3,9,8,999999,1,0.9,0.0,4.5,credential_stuffing,1
1327118,2020-02-20 18:39:05.211,771323582288570656,0.0,209.236.117.110,US,-,-,393398,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.1 Mobile/15E148 Snapchat/11.8.1.33 (like Safari/604.1)",Snapchat 11.8.1,iOS 14.2.1,mobile,True,True,False,18,1.0,0,5,6,4,999999,1,0.6,0.1666666666666666,6.0,brute_force,1
22431242,2020-11-29 07:06:58.368,-4324475583306591935,0.0,10.3.205.196,RU,Ivanovo Oblast,Privolzhsk,15599,ZipppBot/0.11 (ZipppBot; https://github.com/das-group/rba-dataset; webmaster@zippp.net),ZipppBot 0.11,Other ,bot,False,False,False,7,0.0,1,0,4,1,1,0,0.9,1.0,4.0,dictionary_attack,1
1602245,2020-02-24 16:29:37.133,-4324475583306591935,0.0,209.236.123.178,US,-,-,393398,"Mozilla/5.0  (Linux; Android 4.1; Galaxy Nexus Build/JRN84D) AppleWebKit/537.36 (KHTML, like Gecko Chrome/63.0.3239.111 Mobile Safari/537.36 PHX/5.7",Chrome Mobile 63.0.3239,Android 4.1,mobile,False,True,False,16,1.0,0,0,0,1,0,0,0.0,1.0,0.0,normal,0
700269,2020-02-12 15:41:40.835,-4324475583306591935,0.0,152.93.8.89,NO,Rogaland,Sandnes,29695,"Mozilla/5.0 (Linux; U; Android 13.0; i phone X Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/85.0.4183.127 Mobile Safari/537.36 OPR/52.1.2254.54298",Opera Mobile 52.1.2254,Android 13.0,mobile,False,False,False,15,0.0,1,0,0,1,0,0,0.0,1.0,0.0,normal,0
25046253,2020-12-24 11:49:24.192,-4324475583306591935,0.0,193.106.155.146,PL,West Pomerania,Stargard,206314,"Mozilla/5.0  (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1928.117 Mobile Safari/537.36 PHX/6.0 variation/164171",Chrome Mobile 81.0.4044.1928,iOS 11.2.6,mobile,False,True,False,11,1.0,1,0,0,1,1,0,0.0,1.0,0.0,normal,0
